_id,LINKID,SEQUENCENUMBER,RTE_NM,RTE_NM_2,RTE_NM_3,RTE_NM_4,Host RTE_NM,Route Label,Street Name,Physical Jurisdiction,Physical Jurisdiciton Name,Maintenance Jurisdiction,Maintenance Jurisdiciton Name,Start Label,Start Node,Start Node Route Sequence,Star tOffset,Start Milepoint,End Label,End Node,End Node Route Sequence,End Offset,End Milepoint,VPDDate,AADT,AADT Quality,Passenger Vehicle,Bus,Truck 2 Axle,Truck 3 Axle,Truck 1 Trailer,Truck 2 Trailer,Class Quality,K Factor,K Factor Quality,Direction Factor,AAWDT,AAWDT Quality,AADT Dir,AADT Quality Dir,PassengerVehicle Dir,Bus Dir,Truck 2 Axle Dir,Truck 3 Axle Dir,Truck 1 Trailer Dir,Truck 2 Trailer Dir,Class Quality Dir,K Factor Dir,K Factor Quality Dir,Direction Factor Dir,AAWDT Dir,AAWDT Quality Dir
1,790995,0,R-VA   SR00314NB,"","","",R-VA   SR00314NB,VA 314,Southgate Dr,150,Town of Blacksburg,60,Montgomery County,    US 460,463771,0,0,0,    Duck Pond Dr,1266507,0,0,0.733,    01/01/2022,10089,G,98,0,0,1,0,0,C,0.12,6,0.77,10738,G,"","","","","","","","","","","","","",""
2,607200,0,R-VA   SR00412EB,"","","",R-VA   SR00412EB,VA 412,Prices Fork Rd,150,Town of Blacksburg,150,Town of Blacksburg,    US 460,463747,0,0,0,    ,463755,0,0,1.07,    01/01/2022,22747,G,96,2,1,0,1,0,C,0.087,6,0.55,24088,G,"","","","","","","","","","","","","",""
3,607205,0,R-VA   SR00412EB,"","","",R-VA   SR00412EB,VA 412,Prices Fork Rd,150,Town of Blacksburg,150,Town of Blacksburg,    Toms Creek Rd,463755,0,0,1.07,    Main St,463758,0,0,1.35,    01/01/2022,19381,F,96,2,1,0,1,0,F,0.079,6,0.5,20574,F,"","","","","","","","","","","","","",""
4,803765,0,R-VA   SR00412EB      RMP000.00A,"","","",R-VA   SR00412EB      RMP000.00A,VA 412  EB EXIT 0A,Ramp,150,Town of Blacksburg,60,Montgomery County,    150-03152(B)/RAMP-TO RT 460/,463830,0,0,0,    US-00460(B)/RAMP FROM PRICE FORK RD.,463772,0,0,0.17,    01/01/2022,4904,F,"","","","","","",X,0.11,6,1,4904,F,"","","","","","","","","","","","","",""
5,803764,0,R-VA   SR00412UK      RMP000.00A,"","","",R-VA   SR00412UK      RMP000.00A,VA 412  EXIT 0A,Ramp,150,Town of Blacksburg,60,Montgomery County,    SR-00412(B)/RAMP TO RTE. 460,463750,0,0,0,    US-00460(B)/RAMP FROM RTE. 412,463775,0,0,0.13,    01/01/2022,4730,F,"","","","","","",X,"",24,"",4730,F,"","","","","","","","","","","","","",""
6,803766,0,R-VA   SR00412WB      RMP000.00A,"","","",R-VA   SR00412WB      RMP000.00A,VA 412  WB EXIT 0A,Ramp,150,Town of Blacksburg,60,Montgomery County,    150-03152(B)/RAMP-TO RT 460/,463832,0,0,0,    US-00460(B)/RAMP FROM PRICE FORK RD.,463773,0,0,0.13,    01/01/2022,5295,F,"","","","","","",X,0.128,6,1,5295,F,"","","","","","","","","","","","","",""
7,20359,0,R-VA   US00460EB,"","","",R-VA   US00460EB,US 460,Pandapas Pond Rd,150,Town of Blacksburg,   ,"",    Jurisdiction Boundary: 035 Giles County / ,700882,0,0,112.21,    ,463777,0,0,112.61,    01/01/2022,13414,F,90,1,1,1,7,0,F,0.103,6,0.68,14583,F,"","","","","","","","","","","","","",""
8,781594,0,R-VA   US00460EB,"","","",R-VA   US00460EB,US 460, ,150,Town of Blacksburg,   ,"","    Bus US 460, N Main St",463777,0,0,112.61,    SR 412 Prices Fork Rd,463773,0,0.02,115.91,    01/01/2022,14809,F,90,1,1,1,7,0,F,0.104,6,0.69,16100,F,"","","","","","","","","","","","","",""
9,781947,0,R-VA   US00460EB,"","","",R-VA   US00460EB,US 460, ,150,Town of Blacksburg,   ,"",    SR 412 Prices Fork Rd,463773,0,0.02,115.91,    Southgate Dr,736994,0,0,118.88,    01/01/2022,36455,F,95,0,1,1,3,0,C,0.105,6,0.53,39632,F,"","","","","","","","","","","","","",""
10,788294,0,R-VA   US00460EB,"","","",R-VA   US00460EB,US 460, ,150,Town of Blacksburg,   ,"",    BUS US 460,736994,0,0,118.88,    Physical Jurisdiction Boundary: 150 Town of Blacksburg / 060 Montgomery County,739629,0,0,119.6,    01/01/2022,40932,F,95,0,1,1,3,0,F,0.103,6,0.64,44499,F,"","","","","","","","","","","","","",""
